,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,deposit
0,59,0,1,1.0,0,0.25252514336959164,1,0,0,5,8,1042,1,-1,0,1
1,56,0,1,1.0,0,-0.459973601201242,0,0,0,5,8,1467,1,-1,0,1
2,41,9,1,1.0,0,-0.08016030176726845,1,0,0,5,8,1389,1,-1,0,1
3,55,7,1,1.0,0,0.2937620158795659,1,0,0,5,8,579,1,-1,0,1
4,54,0,1,2.0,0,-0.4168764186532238,0,0,0,5,8,673,2,-1,0,1
5,42,4,2,2.0,0,-0.47392592648657167,1,1,0,5,8,562,2,-1,0,1
6,56,4,1,2.0,0,-0.2165830378904916,1,1,0,6,8,1201,1,-1,0,1
7,60,5,0,1.0,0,-0.30494776469757934,1,0,0,6,8,1030,1,-1,0,1
8,37,9,1,1.0,0,-0.4736158748135643,1,0,0,6,8,608,1,-1,0,1
9,28,7,2,1.0,0,1.1042370891207143,1,0,0,6,8,1297,3,-1,0,1
10,38,0,2,1.0,0,-0.4429207591858391,1,0,0,7,8,786,1,-1,0,1
11,30,1,1,1.0,0,-0.3781199595273081,1,0,0,7,8,1574,2,-1,0,1
12,29,4,1,2.0,0,-0.4122256435581139,1,1,0,7,8,1689,4,-1,0,1
13,46,1,2,2.0,0,-0.33130215690320197,1,0,0,7,8,1102,2,-1,0,1
14,31,9,2,2.0,0,-0.25595960036242194,1,0,0,8,8,943,2,-1,0,1
15,35,4,0,2.0,0,0.7157423428425357,1,0,0,8,8,1084,1,-1,0,1
16,32,1,2,0.0,0,-0.28448435427909585,1,0,0,8,8,541,3,-1,0,1
17,49,7,1,1.0,0,-0.47640633987063025,1,0,0,8,8,1119,1,-1,0,1
18,41,0,1,1.0,0,-0.45687308447116876,1,0,0,8,8,1120,2,-1,0,1
19,49,0,0,1.0,0,-0.421837245421341,1,1,0,8,8,513,1,-1,0,1
20,28,0,0,1.0,0,-0.23053536317582124,1,0,0,8,8,442,2,-1,0,1
21,43,4,2,2.0,0,0.16695088161956984,1,0,0,8,8,756,1,-1,0,1
22,43,4,0,2.0,0,-0.3536258773597294,1,0,0,8,8,2087,2,-1,0,1
23,43,1,1,0.0,0,-0.5334558477039781,1,0,0,8,8,1120,2,-1,0,1
24,37,10,2,1.0,0,-0.3557962390707807,1,0,0,8,8,985,2,-1,0,1
25,35,1,2,1.0,0,-0.4615238595662786,1,0,0,9,8,617,4,-1,0,1
26,31,9,2,2.0,0,-0.46710478968041047,1,0,0,9,8,483,3,-1,0,1
27,43,1,2,1.0,0,-0.4729957714675497,1,0,0,9,8,929,3,-1,0,1
28,31,0,1,1.0,0,-0.37874006287332274,1,0,0,9,8,538,1,-1,0,1
29,28,1,2,1.0,0,-0.2385967066740117,1,0,0,9,8,710,1,-1,0,1
30,32,1,1,1.0,1,-0.47423597815957896,1,0,0,9,8,653,1,-1,0,1
31,60,9,1,0.0,0,-0.4537725677410955,1,0,0,9,8,1028,2,-1,0,1
32,26,1,2,1.0,0,-0.448501689299971,1,0,0,9,8,654,1,-1,0,1
33,40,1,1,1.0,0,-0.4708254097564984,1,0,0,9,8,1692,2,-1,0,1
34,33,1,0,0.0,0,-0.35300577401371475,1,0,0,9,8,665,2,-1,0,1
35,32,4,2,2.0,0,-0.37749985618129345,0,0,0,12,8,757,2,-1,0,1
36,35,1,1,0.0,0,-0.34556453386153896,0,0,0,13,8,504,4,-1,0,1
37,33,4,0,1.0,0,-0.47237566812153503,1,0,0,13,8,1346,1,-1,0,1
38,38,4,1,2.0,0,-0.4370297773986999,1,0,0,13,8,568,4,-1,0,1
39,23,2,2,0.0,0,-0.4726857197945423,1,0,0,13,8,395,2,-1,0,1
40,60,1,1,0.0,0,-0.08264071515132705,1,1,0,13,8,1015,1,-1,0,1
41,48,4,1,2.0,0,0.13036478420470546,1,0,0,13,8,683,2,-1,0,1
42,45,2,0,2.0,0,-0.5963963373244652,1,0,0,13,8,470,1,-1,0,1
43,36,1,1,1.0,0,-0.11271572743303762,1,0,0,13,8,1001,4,-1,0,1
44,52,4,1,1.0,0,0.22058982104983713,1,0,0,13,8,845,1,-1,0,1
45,35,1,0,0.0,0,-0.380910424584374,1,0,0,13,8,945,2,-1,0,1
46,43,9,1,1.0,0,0.5445938193424921,1,0,0,13,8,1721,2,-1,0,1
47,52,3,1,1.0,0,0.7424067867211657,1,0,0,14,8,942,3,-1,0,1
48,53,9,0,0.0,0,-0.02652136233700117,1,0,0,14,8,476,1,-1,0,1
49,48,1,0,0.0,0,-0.4664846863343958,1,0,0,14,8,832,1,-1,0,1
50,41,1,2,0.0,0,0.02773768043928077,1,0,0,14,8,1553,1,-1,0,1
51,39,4,0,2.0,0,-0.3136292115417844,1,1,0,14,8,1328,1,-1,0,1
52,59,5,1,1.0,0,-0.002337331842429791,1,1,0,14,8,1125,2,-1,0,1
53,41,1,1,1.0,0,0.40134994641310784,1,0,0,14,8,858,1,-1,0,1
54,48,1,1,1.0,0,-0.03830332591127953,1,0,0,14,8,629,2,-1,0,1
55,40,0,1,1.0,0,0.002003391579672764,1,0,0,14,8,704,1,-1,0,1
56,48,1,1,1.0,0,0.02091654363311961,1,0,0,14,8,760,1,-1,0,1
57,60,5,1,0.0,0,0.004173753290724041,1,0,0,14,8,930,1,-1,0,1
58,40,9,2,0.0,0,0.6583827833361805,1,0,0,14,8,1028,2,-1,0,1
59,57,9,1,2.0,0,-0.47423597815957896,0,0,0,14,8,850,2,-1,0,1
60,51,1,1,1.0,0,1.7522450857060246,1,0,0,14,8,927,1,-1,0,1
61,41,1,0,1.0,0,1.1665574753951868,1,0,0,14,8,1423,3,-1,0,1
62,41,1,1,1.0,0,-0.044814411044433365,1,0,0,15,8,1162,4,-1,0,1
63,52,1,0,0.0,0,-0.5331457960309708,1,0,0,15,8,755,1,-1,0,1
64,59,1,1,0.0,0,-0.3747093911242275,1,0,0,15,8,695,1,-1,0,1
65,44,1,1,0.0,0,-0.42865838222750213,1,0,0,15,8,483,1,-1,0,1
66,49,1,1,0.0,0,-0.3681983059910737,1,1,0,15,8,520,2,-1,0,1
67,40,7,1,0.0,0,-0.4767163915436376,1,0,0,15,8,920,2,-1,0,1
68,41,0,1,0.0,0,-0.5688017384268133,1,0,0,15,8,500,1,-1,0,1
69,44,9,1,2.0,0,0.9461107358869785,1,0,0,15,8,911,2,-1,0,1
70,60,7,2,0.0,0,-0.3768797528352788,1,0,0,15,8,920,2,-1,0,1
71,29,4,1,2.0,0,2.805180567238901,0,0,0,15,8,1224,2,-1,0,1
72,41,5,0,0.0,0,-0.5461679662972785,1,0,0,15,8,1156,2,-1,0,1
